id,name,symbol,slug,circulating_supply,total_supply,max_supply,date_added,num_market_pairs,cmc_rank,last_updated,quote
3327,SIX,SIX,six,,999999970,,2018-09-21T00:00:00.000Z,3,1786,2018-10-04T07:42:51.000Z,"{'USD': {'price': 0.0302142284816, 'volume_24h': 24592.4472581904, 'percent_change_1h': -0.0587287, 'percent_change_24h': 14.0489, 'percent_change_7d': 8.41997, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:51.000Z'}}"
2894,OTCBTC Token,OTB,otcbtc-token,,199470887.762563,,2018-07-03T00:00:00.000Z,10,1787,2018-10-04T07:42:47.000Z,"{'USD': {'price': 0.0636617763026, 'volume_24h': 24221.4347376439, 'percent_change_1h': 0.00561798, 'percent_change_24h': 3.14723, 'percent_change_7d': 3.22077, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:47.000Z'}}"
2408,Qube,QUBE,qube,,1000000000,,2018-01-16T00:00:00.000Z,4,1788,2018-10-04T07:42:38.000Z,"{'USD': {'price': 0.00476789930055, 'volume_24h': 23190.5765272357, 'percent_change_1h': -0.188804, 'percent_change_24h': -2.06582, 'percent_change_7d': 0.807859, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:38.000Z'}}"
3110,NewsToken,NEWOS,newstoken,,10000000000,,2018-08-08T00:00:00.000Z,3,1789,2018-10-04T07:42:45.000Z,"{'USD': {'price': 0.00192512963157, 'volume_24h': 23052.0668505163, 'percent_change_1h': -0.273536, 'percent_change_24h': -13.0194, 'percent_change_7d': -11.9192, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:45.000Z'}}"
3372,Repme,RPM,repme,,100000000000,,2018-10-02T00:00:00.000Z,5,1790,2018-10-04T07:42:48.000Z,"{'USD': {'price': 1.55104929542e-05, 'volume_24h': 22864.5690103584, 'percent_change_1h': -4.30475, 'percent_change_24h': 7.76483, 'percent_change_7d': None, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:48.000Z'}}"
3098,XcelToken,XCEL,xceltoken,,50000000000,,2018-08-06T00:00:00.000Z,5,1791,2018-10-04T07:42:47.000Z,"{'USD': {'price': 0.0308358993548, 'volume_24h': 22017.408552342, 'percent_change_1h': 0.18047, 'percent_change_24h': -0.504251, 'percent_change_7d': -29.22, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:47.000Z'}}"
41,Infinitecoin,IFC,infinitecoin,,90596274910.1,,2013-07-10T00:00:00.000Z,2,1792,2018-10-04T07:43:03.000Z,"{'USD': {'price': 3.80769582194e-05, 'volume_24h': 21561.9064890307, 'percent_change_1h': 0.178356, 'percent_change_24h': 2.42275, 'percent_change_7d': -14.5955, 'market_cap': 0, 'last_updated': '2018-10-04T07:43:03.000Z'}}"
3344,Ecoreal Estate,ECOREAL,ecoreal-estate,,1000000000,,2018-09-25T00:00:00.000Z,3,1793,2018-10-04T07:42:51.000Z,"{'USD': {'price': 0.0725558281714, 'volume_24h': 20987.4224424806, 'percent_change_1h': -0.332366, 'percent_change_24h': 1.99323, 'percent_change_7d': 5.38127, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:51.000Z'}}"
2201,WINCOIN,WC,win-coin,,451276342.874,,2017-11-20T00:00:00.000Z,5,1794,2018-10-04T07:42:35.000Z,"{'USD': {'price': 0.23066529563, 'volume_24h': 20529.1340982763, 'percent_change_1h': 4.4366, 'percent_change_24h': 6.54752, 'percent_change_7d': 52.7949, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:35.000Z'}}"
3276,SaveNode,SNO,savenode,,9231711.68652261,,2018-09-12T00:00:00.000Z,2,1795,2018-10-04T07:42:50.000Z,"{'USD': {'price': 0.0713214223913, 'volume_24h': 19790.9705227077, 'percent_change_1h': 10.2077, 'percent_change_24h': 13.1402, 'percent_change_7d': -66.114, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:50.000Z'}}"
2008,MSD,MSD,msd,,6088400259.36516,30000000000,2017-10-01T00:00:00.000Z,2,1796,2018-10-04T07:42:51.000Z,"{'USD': {'price': 0.00519751907252, 'volume_24h': 19625.8612638496, 'percent_change_1h': 0.010469, 'percent_change_24h': 0.960008, 'percent_change_7d': 3.93888, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:51.000Z'}}"
3361,Webchain,WEB,webchain,,44475665.0606912,,2018-09-30T00:00:00.000Z,1,1797,2018-10-04T07:42:49.000Z,"{'USD': {'price': 0.0087358530175, 'volume_24h': 19292.8204616845, 'percent_change_1h': 7.63048, 'percent_change_24h': 62.7602, 'percent_change_7d': None, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:49.000Z'}}"
1487,Pabyosi Coin (Special),PCS,pabyosi-coin-special,,30993751760,,2016-12-20T00:00:00.000Z,2,1798,2018-10-04T07:42:24.000Z,"{'USD': {'price': 0.0394098632369, 'volume_24h': 19092.0327752047, 'percent_change_1h': -0.0587581, 'percent_change_24h': 0.33173, 'percent_change_7d': 1.30675, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:24.000Z'}}"
3112,Bitnation,XPAT,bitnation,,42000000000,,2018-08-07T00:00:00.000Z,2,1799,2018-10-04T07:42:48.000Z,"{'USD': {'price': 1.2756938146e-05, 'volume_24h': 18801.2975304825, 'percent_change_1h': -4.00956, 'percent_change_24h': 6.85315, 'percent_change_7d': -60.7489, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:48.000Z'}}"
3365,Cpollo,CPLO,cpollo,,20000000000,,2018-10-01T00:00:00.000Z,2,1800,2018-10-04T07:42:50.000Z,"{'USD': {'price': 0.000326326024231, 'volume_24h': 18796.8544333396, 'percent_change_1h': -0.0587438, 'percent_change_24h': 2.03185, 'percent_change_7d': None, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:50.000Z'}}"
3260,AMO Coin,AMO,amo-coin,,19679012761.8103,,2018-09-10T00:00:00.000Z,2,1801,2018-10-04T07:42:48.000Z,"{'USD': {'price': 0.00208123189424, 'volume_24h': 17964.0870875334, 'percent_change_1h': -0.275108, 'percent_change_24h': 1.30762, 'percent_change_7d': 35.7372, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:48.000Z'}}"
3326,Crypto Harbor Exchange,CHE,crypto-harbor-exchange,,50000000000,,2018-09-21T00:00:00.000Z,3,1802,2018-10-04T07:42:51.000Z,"{'USD': {'price': 0.000197049316184, 'volume_24h': 17880.8258024286, 'percent_change_1h': -0.487682, 'percent_change_24h': 2.0898, 'percent_change_7d': 13.0729, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:51.000Z'}}"
2842,Bankera,BNK,bankera,,25000000000,,2018-06-04T00:00:00.000Z,3,1803,2018-10-04T07:42:41.000Z,"{'USD': {'price': 0.00233869430545, 'volume_24h': 17241.2280179361, 'percent_change_1h': -0.21429, 'percent_change_24h': 3.16258, 'percent_change_7d': 5.35621, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:41.000Z'}}"
2455,PressOne,PRS,pressone,,,,2018-01-24T00:00:00.000Z,2,1804,2018-10-04T07:42:40.000Z,"{'USD': {'price': 0.050764049698, 'volume_24h': 15869.3391135192, 'percent_change_1h': -0.167653, 'percent_change_24h': -3.8821, 'percent_change_7d': -3.6291, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:40.000Z'}}"
2396,WETH,WETH,weth,,,,2018-01-14T00:00:00.000Z,41,1805,2018-10-04T07:42:34.000Z,"{'USD': {'price': 218.321021752, 'volume_24h': 14927.4249204599, 'percent_change_1h': -0.139726, 'percent_change_24h': -1.01759, 'percent_change_7d': 1.55312, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:34.000Z'}}"
3083,Lina,LINA,lina,,900000000,,2018-08-07T00:00:00.000Z,3,1806,2018-10-04T07:42:45.000Z,"{'USD': {'price': 0.0937799332396, 'volume_24h': 14584.9579181619, 'percent_change_1h': 0.903936, 'percent_change_24h': 3.96502, 'percent_change_7d': 29.7376, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:45.000Z'}}"
3354,TRONCLASSIC,TRXC,tronclassic,,1000000000000,,2018-09-27T00:00:00.000Z,2,1807,2018-10-04T07:42:49.000Z,"{'USD': {'price': 2.26928763707e-07, 'volume_24h': 14310.1779278523, 'percent_change_1h': -82.7133, 'percent_change_24h': -18.7258, 'percent_change_7d': None, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:49.000Z'}}"
3169,Hybrid Block,HYB,hybrid-block,,1000000000,,2018-08-14T00:00:00.000Z,1,1808,2018-10-04T07:42:46.000Z,"{'USD': {'price': 0.0219748890008, 'volume_24h': 13812.503398977, 'percent_change_1h': -0.273401, 'percent_change_24h': 28.1843, 'percent_change_7d': 31.5608, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:46.000Z'}}"
2857,SalPay,SAL,salpay,,100000000,,2018-06-11T00:00:00.000Z,3,1809,2018-10-04T07:42:42.000Z,"{'USD': {'price': 0.0288627617128, 'volume_24h': 11787.2762213012, 'percent_change_1h': -0.259596, 'percent_change_24h': -4.60514, 'percent_change_7d': -13.1805, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:42.000Z'}}"
3323,PAYCENT,PYN,paycent,,100000000,,2018-09-21T00:00:00.000Z,3,1810,2018-10-04T07:42:51.000Z,"{'USD': {'price': 0.158068175984, 'volume_24h': 11721.4992633988, 'percent_change_1h': -5.91665, 'percent_change_24h': 22.1509, 'percent_change_7d': 110.585, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:51.000Z'}}"
2370,Bitcoin God,GOD,bitcoin-god,,,21000000,2018-01-11T00:00:00.000Z,4,1811,2018-10-04T07:42:30.000Z,"{'USD': {'price': 12.9037996559, 'volume_24h': 11264.6627528254, 'percent_change_1h': -0.165056, 'percent_change_24h': -2.83976, 'percent_change_7d': -12.159, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:30.000Z'}}"
3004,Volt,ACDC,volt,,4000000000,,2018-07-31T00:00:00.000Z,3,1812,2018-10-04T07:42:43.000Z,"{'USD': {'price': 0.00152800522321, 'volume_24h': 11173.6763875476, 'percent_change_1h': -0.0493718, 'percent_change_24h': -4.70827, 'percent_change_7d': 7.82793, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:43.000Z'}}"
2531,W3Coin,W3C,w3coin,,,,2018-02-17T00:00:00.000Z,5,1813,2018-10-04T07:42:40.000Z,"{'USD': {'price': 4.72021913286e-05, 'volume_24h': 11062.5703822696, 'percent_change_1h': 3.42916, 'percent_change_24h': 6.83402, 'percent_change_7d': 6.42261, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:40.000Z'}}"
3240,Ethersocial,ESN,ethersocial,,60956201.6611727,,2018-08-30T00:00:00.000Z,1,1814,2018-10-04T07:42:51.000Z,"{'USD': {'price': 0.204274457778, 'volume_24h': 11020.7050488456, 'percent_change_1h': 4.46087, 'percent_change_24h': 10.3142, 'percent_change_7d': 31.2547, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:51.000Z'}}"
3317,Cryptrust,CTRT,cryptrust,,8966516683.73517,,2018-09-20T00:00:00.000Z,3,1815,2018-10-04T07:42:51.000Z,"{'USD': {'price': 2.81605709371e-05, 'volume_24h': 10506.4634891272, 'percent_change_1h': 4.21337, 'percent_change_24h': -4.58177, 'percent_change_7d': -38.4518, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:51.000Z'}}"
2925,RECORD,RCD,record,,,,2018-07-15T00:00:00.000Z,2,1816,2018-10-04T07:42:43.000Z,"{'USD': {'price': 0.00760827162774, 'volume_24h': 10407.2674859307, 'percent_change_1h': -0.905017, 'percent_change_24h': 24.9731, 'percent_change_7d': 0.148937, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:43.000Z'}}"
1809,TerraNova,TER,terranova,,1058739.07508285,,2017-07-15T00:00:00.000Z,4,1817,2018-10-04T07:42:30.000Z,"{'USD': {'price': 0.146994307711, 'volume_24h': 10300.0240982643, 'percent_change_1h': -2.57309, 'percent_change_24h': -10.0828, 'percent_change_7d': -46.2343, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:30.000Z'}}"
3012,VeThor Token,VTHO,vethor-token,,,,2018-07-30T00:00:00.000Z,1,1818,2018-10-04T07:42:45.000Z,"{'USD': {'price': 0.00122655757994, 'volume_24h': 10112.69086076, 'percent_change_1h': 0.062075, 'percent_change_24h': 3.0681, 'percent_change_7d': -1.92637, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:45.000Z'}}"
3341,Phonecoin,PHON,phonecoin,,609919.5591762,,2018-09-25T00:00:00.000Z,3,1819,2018-10-04T07:42:50.000Z,"{'USD': {'price': 0.751395426794, 'volume_24h': 9983.36584484702, 'percent_change_1h': 4.73327, 'percent_change_24h': 14.8475, 'percent_change_7d': -74.0939, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:50.000Z'}}"
3109,Ordocoin,RDC,ordocoin,,51000000000000,,2018-08-16T00:00:00.000Z,4,1820,2018-10-04T07:42:45.000Z,"{'USD': {'price': 3.94098721939e-05, 'volume_24h': 9231.72481713837, 'percent_change_1h': -0.0587776, 'percent_change_24h': -0.172572, 'percent_change_7d': -23.9779, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:45.000Z'}}"
3257,GazeCoin,GZE,gazecoin,,29508557,,2018-09-07T00:00:00.000Z,2,1821,2018-10-04T07:42:48.000Z,"{'USD': {'price': 0.00958973338763, 'volume_24h': 9016.40763118912, 'percent_change_1h': -0.058743, 'percent_change_24h': 8.70236, 'percent_change_7d': -22.282, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:48.000Z'}}"
2663,StarCoin,KST,starcointv,,877631076.903,,2018-04-23T00:00:00.000Z,2,1822,2018-10-04T07:42:45.000Z,"{'USD': {'price': 0.00500800135601, 'volume_24h': 8856.0156117374, 'percent_change_1h': -6.95114, 'percent_change_24h': 3.19259, 'percent_change_7d': -11.2138, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:45.000Z'}}"
3073,Esports Token,EST,esports-token,,1000000000,,2018-08-03T00:00:00.000Z,1,1823,2018-10-04T07:42:43.000Z,"{'USD': {'price': 0.00326707766234, 'volume_24h': 8761.17772958033, 'percent_change_1h': 4.28791, 'percent_change_24h': 11.319, 'percent_change_7d': -23.8878, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:43.000Z'}}"
